
  .. 11400/12000 frames, avg util=0.28476, R̄=0.781, 19.7s
  .. 12000/12000 frames, avg util=0.28508, R̄=0.781, 20.8s
λ=(1.5, 1.0, 0.03, 0.02): util=0.28508  R̄=0.781
λ=(1.5, 1.0, 0.04, 0.01) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.31128, R̄=0.785, 1.0s
  .. 1200/12000 frames, avg util=0.25095, R̄=0.786, 2.1s
  .. 1800/12000 frames, avg util=0.21564, R̄=0.785, 3.1s
  .. 2400/12000 frames, avg util=0.24916, R̄=0.781, 4.1s
  .. 3000/12000 frames, avg util=0.25517, R̄=0.782, 5.2s
  .. 3600/12000 frames, avg util=0.26895, R̄=0.783, 6.2s
  .. 4200/12000 frames, avg util=0.28192, R̄=0.783, 7.2s
  .. 4800/12000 frames, avg util=0.28899, R̄=0.785, 8.2s
  .. 5400/12000 frames, avg util=0.27586, R̄=0.785, 9.3s
  .. 6000/12000 frames, avg util=0.28838, R̄=0.785, 10.3s
  .. 6600/12000 frames, avg util=0.28851, R̄=0.785, 11.3s
  .. 7200/12000 frames, avg util=0.26997, R̄=0.785, 12.3s
  .. 7800/12000 frames, avg util=0.26983, R̄=0.786, 13.3s
  .. 8400/12000 frames, avg util=0.28135, R̄=0.782, 14.4s
  .. 9000/12000 frames, avg util=0.28241, R̄=0.782, 15.4s
  .. 9600/12000 frames, avg util=0.28326, R̄=0.782, 16.4s
  .. 10200/12000 frames, avg util=0.28070, R̄=0.781, 17.4s
  .. 10800/12000 frames, avg util=0.27755, R̄=0.780, 18.4s
  .. 11400/12000 frames, avg util=0.28044, R̄=0.780, 19.5s
  .. 12000/12000 frames, avg util=0.28077, R̄=0.780, 20.5s
λ=(1.5, 1.0, 0.04, 0.01): util=0.28077  R̄=0.780
λ=(1.5, 1.0, 0.04, 0.02) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.31097, R̄=0.785, 1.0s
  .. 1200/12000 frames, avg util=0.25068, R̄=0.786, 2.2s
  .. 1800/12000 frames, avg util=0.21541, R̄=0.785, 3.2s
  .. 2400/12000 frames, avg util=0.24894, R̄=0.782, 4.3s
  .. 3000/12000 frames, avg util=0.25497, R̄=0.782, 5.4s
  .. 3600/12000 frames, avg util=0.26874, R̄=0.783, 6.4s
  .. 4200/12000 frames, avg util=0.28173, R̄=0.783, 7.5s
  .. 4800/12000 frames, avg util=0.28881, R̄=0.785, 8.5s
  .. 5400/12000 frames, avg util=0.27566, R̄=0.785, 9.5s
  .. 6000/12000 frames, avg util=0.28820, R̄=0.785, 10.6s
  .. 6600/12000 frames, avg util=0.28833, R̄=0.785, 11.6s
